회사명,경력,고용형태,연봉,근무지
주식회사 씨드앤,경력(최소 1년 이상),정규직,"연봉 3,000만원 ~5,000만원",근무지 서울특별시 성동구 왕십리로 115
서희자연어린이집,신입,정규직,월급 201만원 이상,근무지 경기도 양주시 화합로1325번길 22-33
주식회사이프커뮤니티,경력(최소 3년 이상),정규직,"연봉 3,600만원 이상",근무지 서울특별시 성동구 아차산로17길 49
농업회사법인(주)거북이농산,경력(최소 1년 이상),정규직,월급 210만원 이상,근무지 경상북도 칠곡군 지천면 신동로5길 74
바른기업,관계없음,정규직,"일급 140,000원 ~170,000원",근무지 경상남도 거제시 거제대로 3370
주식회사 에이제트홀딩스,관계없음,정규직,월급 202만원 ~202만원,근무지 광주광역시 북구 삼정로 6
(주)은우 소프트,신입,정규직,"연봉 3,000만원 ~3,000만원",근무지 서울특별시 금천구 가산디지털2로 101
주식회사미래손,관계없음,정규직,"연봉 3,000만원 ~6,000만원",근무지 서울특별시 금천구 서부샛길 606
(주)캐드정보기술,관계없음,정규직,"연봉 2,500만원 ~5,000만원",근무지 부산광역시 북구 백양대로1050번가길 12
유티정보(주),경력(최소 2년 이상),정규직,"연봉 2,600만원 ~3,000만원",근무지 대전광역시 동구 동서대로1683번길 9
(주)꿀비,경력(최소 3년 이상),정규직,월급 250만원 ~500만원,근무지 대전광역시 서구 둔산대로117번길 102
주식회사나노브레인,경력(최소 1년 이상),정규직,"연봉 2,500만원 ~4,500만원",근무지 경상남도 창원시 성산구 용지로 94
(주)담소프트,신입,정규직,"연봉 2,800만원 ~3,300만원",근무지 충청북도 청주시 상당구 월평로153번길 47
주식회사 마블시스템,경력(최소 1년 이상),정규직,"연봉 3,500만원 이상",근무지 서울특별시 서초구 방배천로 66
모드니사회적협동조합,경력(최소 3년 이상),계약직,"연봉 3,000만원 이상",근무지 경상남도 진주시 동부로169번길 12
(주)에스티로직,경력(최소 5년 이상),정규직,"연봉 4,000만원 ~8,000만원",근무지 서울특별시 송파구 법원로11길 7
(주)솔루텍시스템,경력(최소 1년 이상),정규직,"연봉 2,500만원 이상",근무지 서울특별시 영등포구 영신로 220
(주)위솔루션,관계없음,정규직,월급 250만원 ~300만원,근무지 부산광역시 남구 수영로 309
(주)두손소프트,경력(최소 3년 이상),정규직,"연봉 3,000만원 ~7,000만원",근무지 서울특별시 구로구 디지털로26길 111
솔브리드플러스,관계없음,정규직,"연봉 2,800만원 ~3,200만원",근무지 서울특별시 금천구 가산디지털1로 128
솔브리드플러스,경력(최소 2년 이상),정규직,"연봉 3,000만원 ~3,400만원",근무지 서울특별시 금천구 가산디지털1로 128
(주)인에이블다온소프트,경력(최소 3년 이상),정규직,"연봉 4,500만원 ~7,000만원",근무지 서울특별시 용산구 이태원로 239
(주)세연시스템즈,경력(최소 1년 이상),정규직,"연봉 4,500만원 ~7,000만원",근무지 서울특별시 구로구 디지털로30길 28
(주)유비플러스,경력(최소 10년 이상),정규직,"연봉 4,000만원 ~6,000만원",근무지 서울특별시 강남구 봉은사로57길 13
(주)오즈넷코리아,관계없음,정규직,"연봉 2,900만원 이상",근무지 울산광역시 중구 종가8길 67
(주)씽크웨이브,경력(최소 6년 이상),정규직,월급 350만원 ~450만원,근무지 서울특별시 서초구 동광로18길 20
(주)지에스아이코,경력(최소 3년 이상),계약직,"연봉 3,000만원 ~4,000만원",근무지 인천광역시 남동구 예술로258번길 13
에스코어 주식회사,경력(최소 2년 이상),정규직,"연봉 4,600만원 ~4,600만원",근무지 서울특별시 송파구 올림픽로35길 123
(주)제이에스시솔루션,관계없음,정규직,"연봉 3,000만원 이상",근무지 경기도 의왕시 오봉산단3로 25
(주)커머스톤컨설팅,관계없음,정규직,"연봉 3,200만원 이상",근무지 서울특별시 금천구 디지털로9길 33 33
더솔트(주),경력(최소 1년 이상),정규직,월급 260만원 이상,근무지 서울특별시 구로구 디지털로33길 27
(주)뮤텍스,경력(최소 2년 이상),정규직,"연봉 3,000만원 이상",근무지 서울특별시 강서구 양천로 583
주식회사미래손,경력(최소 3년 이상),정규직,월급 250만원 ~400만원,근무지 서울특별시 금천구 서부샛길 606
(주)유클리드소프트,관계없음,정규직,"시급 10,000원 ~10,000원",근무지 대전광역시 서구 대덕대로317번길 20
(주)웨이브피아,경력(최소 2년 이상),정규직,월급 300만원 이상,근무지 서울특별시 송파구 송이로 164
